id,text,loc,sentiment,aspects,conf,time
65,The cleanliness is extremely bad. . The pothole is extremely bad.,Garia,Negative,"Hygiene,Roads",95.1%,06:55 PM
66,The bridge is extremely bad.,Garia,Negative,Roads,94.0%,06:55 PM
67,The street is extremely bad.,Dum Dum,Negative,Roads,97.8%,06:55 PM
68,The safai is extremely bad.,Newtown,Negative,Hygiene,97.9%,06:55 PM
69,The auto is very good.,Garia,Positive,Transit,94.3%,06:55 PM
70,The rickshaw is very good. . The unnoto is very good.,Jadavpur,Positive,"Transit,Roads",95.3%,06:55 PM
71,The police is extremely bad. . The metro is extremely bad.,Kestopur,Negative,"Safety,Transit",99.5%,06:55 PM
72,The dakat is extremely bad.,Lake Town,Negative,Safety,96.6%,06:55 PM
73,The crime is extremely bad.,Salt Lake,Negative,Safety,99.8%,06:55 PM
74,The janbahon is extremely bad. . The road is extremely bad.,Garia,Negative,"Transit,Roads",98.8%,06:55 PM
75,The safai is very good.,Lake Town,Positive,Hygiene,97.6%,06:55 PM
76,The nikashi is very good. . The pul is very good. . The transport is very good.,Jadavpur,Positive,"Hygiene,Roads,Transit",98.7%,06:55 PM
77,The phari is very good.,Newtown,Positive,Safety,97.5%,06:55 PM
78,The drain is very good.,Dum Dum,Positive,Hygiene,99.6%,06:55 PM
79,The flyover is extremely bad. . The bhir is extremely bad.,Tollygunge,Negative,"Roads,Transit",99.7%,06:55 PM
80,The alo is extremely bad. . The swachh is extremely bad.,Kestopur,Negative,"Safety,Hygiene",94.6%,06:55 PM
81,The bhir is extremely bad. . The road is extremely bad. . The moila is extremely bad.,Lake Town,Negative,"Transit,Roads,Hygiene",99.5%,06:55 PM
82,The manush is extremely bad.,Dum Dum,Negative,Roads,96.4%,06:55 PM
83,The nongra is very good.,Salt Lake,Positive,Hygiene,99.4%,06:55 PM
84,The pul is very good. . The naali is very good. . The bhoy is very good.,Tollygunge,Positive,"Roads,Hygiene,Safety",98.8%,06:55 PM
85,The goli is very good.,Tollygunge,Positive,Roads,95.3%,06:55 PM
86,The highway is very good.,Behala,Positive,Roads,96.5%,06:55 PM
87,The safe is extremely bad.,Jadavpur,Negative,Safety,96.0%,06:55 PM
88,The badbu is very good.,Sector V,Positive,Hygiene,94.7%,06:55 PM
89,The bhoy is very good. . The raston is very good.,Lake Town,Positive,"Safety,Roads",99.1%,06:55 PM
90,The porishkar is extremely bad. . The sarak is extremely bad.,Tollygunge,Negative,"Hygiene,Roads",96.1%,06:55 PM
91,The metro is extremely bad.,Dum Dum,Negative,Transit,97.0%,06:55 PM
92,The drain is very good.,Dum Dum,Positive,Hygiene,95.0%,06:55 PM
93,The phari is very good.,Sector V,Positive,Safety,97.4%,06:55 PM
94,The gandagi is very good.,Newtown,Positive,Hygiene,99.8%,06:55 PM
95,The patrol is very good.,Behala,Positive,Safety,94.4%,06:55 PM
96,The dustbin is extremely bad.,Sector V,Negative,Hygiene,96.6%,06:55 PM
97,The protection is very good. . The kachra is very good.,Dum Dum,Positive,"Safety,Hygiene",98.4%,06:55 PM
98,The bhoy is very good.,Newtown,Positive,Safety,95.1%,06:55 PM
99,The bus is extremely bad.,Tollygunge,Negative,Transit,95.4%,06:55 PM
100,The rickshaw is very good.,Garia,Positive,Transit,98.5%,06:55 PM
101,The andhera is extremely bad.,Lake Town,Negative,Safety,96.6%,06:55 PM
102,The yatayat is extremely bad.,Newtown,Negative,Transit,96.3%,06:55 PM
103,The toto is very good.,Garia,Positive,Transit,96.3%,06:55 PM
104,The bhir is extremely bad. . The dakat is extremely bad.,Jadavpur,Negative,"Transit,Safety",96.1%,06:55 PM
105,The badbu is very good.,Dum Dum,Positive,Hygiene,95.8%,06:55 PM
106,The sanitation is extremely bad.,Newtown,Negative,Hygiene,94.8%,06:55 PM
107,The gandagi is very good.,Garia,Positive,Hygiene,95.8%,06:55 PM
108,The sarak is extremely bad. . The porishkar is extremely bad.,Sector V,Negative,"Roads,Hygiene",95.4%,06:55 PM
109,The commute is very good.,Behala,Positive,Transit,97.8%,06:55 PM
110,The nirapotta is very good. . The naali is very good.,Garia,Positive,"Safety,Hygiene",99.2%,06:55 PM
111,The rickshaw is extremely bad.,Garia,Negative,Transit,99.3%,06:55 PM
112,The metro is extremely bad. . The safai is extremely bad.,Behala,Negative,"Transit,Hygiene",98.4%,06:55 PM
113,The secure is very good. . The safai is very good.,Kestopur,Positive,"Safety,Hygiene",94.9%,06:55 PM
114,The khana khondko is extremely bad. . The patrol is extremely bad.,Tollygunge,Negative,"Roads,Safety",97.4%,06:55 PM
115,The highway is extremely bad. . The congestion is extremely bad. . The phari is extremely bad.,Kestopur,Negative,"Roads,Transit,Safety",98.0%,06:55 PM
116,The churi is extremely bad.,Newtown,Negative,Safety,97.6%,06:55 PM
117,The ondhokar is extremely bad.,Behala,Negative,Safety,97.1%,06:55 PM
118,The andhera is extremely bad.,Garia,Negative,Safety,94.2%,06:55 PM
119,The naala is very good. . The gully is very good.,Lake Town,Positive,"Hygiene,Roads",94.2%,06:55 PM
120,The police is extremely bad. . The toto is extremely bad.,Tollygunge,Negative,"Safety,Transit",99.2%,06:55 PM
121,The nongra is extremely bad.,Tollygunge,Negative,Hygiene,96.4%,06:55 PM
122,The path is extremely bad. . The aborjna is extremely bad. . The khof is extremely bad.,Salt Lake,Negative,"Roads,Hygiene,Safety",94.1%,06:55 PM
123,The ganda is very good.,Dum Dum,Positive,Hygiene,98.9%,06:55 PM
124,The protection is very good.,Sector V,Positive,Safety,95.0%,06:55 PM
125,The auto is extremely bad.,Salt Lake,Negative,Transit,98.8%,06:55 PM
126,The dustbin is extremely bad. . The traffic is extremely bad. . The safe is extremely bad.,Behala,Negative,"Hygiene,Transit,Safety",95.7%,06:55 PM
127,The nirapotta is very good. . The dustbin is very good. . The pothole is very good.,Jadavpur,Positive,"Safety,Hygiene,Roads",97.3%,06:55 PM
128,The lane is extremely bad. . The sewage is extremely bad. . The alo is extremely bad.,Dum Dum,Negative,"Roads,Hygiene,Safety",94.9%,06:55 PM
129,The transport is extremely bad.,Lake Town,Negative,Transit,96.6%,06:55 PM
130,The pothole is extremely bad.,Newtown,Negative,Roads,95.1%,06:55 PM
131,The dar is very good. . The naala is very good.,Jadavpur,Positive,"Safety,Hygiene",94.2%,06:55 PM
132,The crime is extremely bad.,Salt Lake,Negative,Safety,99.0%,06:55 PM
133,The aborjna is very good.,Newtown,Positive,Hygiene,99.1%,06:55 PM
134,The raasta is extremely bad.,Salt Lake,Negative,Roads,96.2%,06:55 PM
135,The light is extremely bad. . The kachra is extremely bad.,Garia,Negative,"Safety,Hygiene",98.6%,06:55 PM
136,The gandagi is very good.,Kestopur,Positive,Hygiene,96.4%,06:55 PM
137,The drain is very good. . The road is very good.,Tollygunge,Positive,"Hygiene,Roads",94.7%,06:55 PM
138,The gaadi is very good.,Newtown,Positive,Transit,99.2%,06:55 PM
139,The patrol is very good. . The drain is very good.,Tollygunge,Positive,"Safety,Hygiene",99.7%,06:55 PM
140,The badhu is extremely bad. . The paribahan is extremely bad. . The highway is extremely bad.,Jadavpur,Negative,"Hygiene,Transit,Roads",96.0%,06:55 PM
141,The safety is very good. . The rickshaw is very good. . The kudedan is very good.,Tollygunge,Positive,"Safety,Transit,Hygiene",95.1%,06:55 PM
142,The andhera is extremely bad. . The pothole is extremely bad.,Lake Town,Negative,"Safety,Roads",94.1%,06:55 PM
143,The flyover is extremely bad.,Behala,Negative,Roads,98.9%,06:55 PM
144,The bhir is extremely bad.,Lake Town,Negative,Transit,96.1%,06:55 PM
145,The goli is extremely bad. . The suraksha is extremely bad.,Salt Lake,Negative,"Roads,Safety",97.9%,06:55 PM
146,The gandagi is very good.,Tollygunge,Positive,Hygiene,98.7%,06:55 PM
147,The patrol is extremely bad. . The naali is extremely bad.,Newtown,Negative,"Safety,Hygiene",97.6%,06:55 PM
148,The unnoto is extremely bad.,Sector V,Negative,Roads,97.5%,06:55 PM
149,The transport is extremely bad. . The lighting is extremely bad.,Jadavpur,Negative,"Transit,Safety",96.8%,06:55 PM
150,The janbahon is extremely bad. . The police is extremely bad. . The sadak is extremely bad.,Tollygunge,Negative,"Transit,Safety,Roads",98.1%,06:55 PM
151,The dustbin is very good.,Lake Town,Positive,Hygiene,96.8%,06:55 PM
152,The janbahon is very good. . The surface is very good. . The alo is very good.,Behala,Positive,"Transit,Roads,Safety",99.8%,06:55 PM
153,The kudedan is very good. . The raston is very good. . The protection is very good.,Salt Lake,Positive,"Hygiene,Roads,Safety",95.7%,06:55 PM
154,The metro is extremely bad.,Kestopur,Negative,Transit,97.4%,06:55 PM
155,The ondhokar is very good.,Dum Dum,Positive,Safety,98.2%,06:55 PM
156,The safe is extremely bad.,Newtown,Negative,Safety,94.6%,06:55 PM
157,The metro is very good. . The phari is very good.,Jadavpur,Positive,"Transit,Safety",98.3%,06:55 PM
158,The traffic is very good.,Behala,Positive,Transit,98.2%,06:55 PM
159,The garbage is extremely bad.,Behala,Negative,Hygiene,99.0%,06:55 PM
160,The crime is very good. . The kachra is very good.,Tollygunge,Positive,"Safety,Hygiene",94.3%,06:55 PM
161,The protection is very good.,Kestopur,Positive,Safety,96.4%,06:55 PM
162,The stench is extremely bad. . The patrol is extremely bad. . The rickshaw is extremely bad.,Behala,Negative,"Hygiene,Safety,Transit",96.1%,06:55 PM
163,The safai is extremely bad.,Sector V,Negative,Hygiene,94.6%,06:55 PM
164,The nirapotta is extremely bad.,Behala,Negative,Safety,94.3%,06:55 PM
165,The bus is extremely bad. . The gully is extremely bad.,Dum Dum,Negative,"Transit,Roads",98.3%,06:55 PM
166,The rickshaw is extremely bad. . The street is extremely bad.,Salt Lake,Negative,"Transit,Roads",95.8%,06:55 PM
167,The traffic is very good. . The safe is very good.,Sector V,Positive,"Transit,Safety",99.1%,06:55 PM
168,The street is very good.,Tollygunge,Positive,Roads,95.6%,06:55 PM
169,The ondhokar is extremely bad.,Kestopur,Negative,Safety,97.2%,06:55 PM
170,The lighting is very good. . The naala is very good. . The path is very good.,Newtown,Positive,"Safety,Hygiene,Roads",96.0%,06:55 PM
171,The porishkar is extremely bad. . The gorto is extremely bad. . The rickshaw is extremely bad.,Salt Lake,Negative,"Hygiene,Roads,Transit",95.1%,06:55 PM
172,The theft is very good.,Sector V,Positive,Safety,99.2%,06:55 PM
173,The ganda is very good.,Sector V,Positive,Hygiene,99.3%,06:55 PM
174,The bus is extremely bad. . The manush is extremely bad.,Sector V,Negative,"Transit,Roads",95.4%,06:55 PM
175,The cctv is extremely bad.,Behala,Negative,Safety,96.1%,06:55 PM
176,The safety is extremely bad.,Kestopur,Negative,Safety,95.8%,06:55 PM
177,The bhir is extremely bad.,Tollygunge,Negative,Transit,99.7%,06:55 PM
178,The khof is extremely bad.,Behala,Negative,Safety,94.6%,06:55 PM
179,The gaadi is very good.,Jadavpur,Positive,Transit,98.6%,06:55 PM
180,The rickshaw is extremely bad.,Behala,Negative,Transit,94.9%,06:55 PM
181,The police is extremely bad.,Salt Lake,Negative,Safety,98.0%,06:55 PM
182,The swachh is very good. . The commute is very good. . The cctv is very good.,Jadavpur,Positive,"Hygiene,Transit,Safety",96.6%,06:55 PM
183,The stench is extremely bad.,Jadavpur,Negative,Hygiene,99.6%,06:55 PM
184,The traffic is very good. . The road is very good. . The kachra is very good.,Newtown,Positive,"Transit,Roads,Hygiene",99.1%,06:55 PM
185,The pothole is very good. . The police is very good.,Newtown,Positive,"Roads,Safety",96.3%,06:55 PM
186,The traffic is very good. . The moila is very good.,Kestopur,Positive,"Transit,Hygiene",99.1%,06:55 PM
187,The lane is extremely bad.,Dum Dum,Negative,Roads,96.3%,06:55 PM
188,The andhera is very good. . The smell is very good.,Garia,Positive,"Safety,Hygiene",96.3%,06:55 PM
189,The lane is extremely bad.,Kestopur,Negative,Roads,96.7%,06:55 PM
190,The naali is extremely bad. . The metro is extremely bad.,Dum Dum,Negative,"Hygiene,Transit",94.6%,06:55 PM
191,The gaddha is very good.,Newtown,Positive,Roads,97.8%,06:55 PM
192,The gaadi is very good. . The cctv is very good. . The naala is very good.,Sector V,Positive,"Transit,Safety,Hygiene",98.4%,06:55 PM
193,The safety is extremely bad. . The nordoma is extremely bad.,Salt Lake,Negative,"Safety,Hygiene",96.1%,06:55 PM
194,The gaddha is extremely bad. . The khof is extremely bad. . The janbahon is extremely bad.,Jadavpur,Negative,"Roads,Safety,Transit",97.7%,06:55 PM
195,The paribahan is extremely bad.,Behala,Negative,Transit,98.8%,06:55 PM
196,The auto is extremely bad. . The dustbin is extremely bad.,Kestopur,Negative,"Transit,Hygiene",94.9%,06:55 PM
197,The police is extremely bad. . The janbahon is extremely bad.,Jadavpur,Negative,"Safety,Transit",96.5%,06:55 PM
198,The kudedan is extremely bad. . The shuttle is extremely bad.,Salt Lake,Negative,"Hygiene,Transit",97.7%,06:55 PM
199,The raston is extremely bad. . The auto is extremely bad.,Salt Lake,Negative,"Roads,Transit",99.0%,06:55 PM
200,The nordoma is very good.,Lake Town,Positive,Hygiene,95.4%,06:55 PM
201,The divider is extremely bad.,Tollygunge,Negative,Roads,95.4%,06:55 PM
202,The surface is extremely bad. . The safe is extremely bad. . The gaadi is extremely bad.,Garia,Negative,"Roads,Safety,Transit",94.0%,06:55 PM
203,The dar is extremely bad. . The pul is extremely bad.,Behala,Negative,"Safety,Roads",96.2%,06:55 PM
204,The transport is extremely bad. . The trash is extremely bad. . The alo is extremely bad.,Newtown,Negative,"Transit,Hygiene,Safety",99.4%,06:55 PM
205,The bus is very good. . The porishkar is very good. . The khof is very good.,Tollygunge,Positive,"Transit,Hygiene,Safety",94.6%,06:55 PM
206,The metro is extremely bad. . The crime is extremely bad.,Tollygunge,Negative,"Transit,Safety",95.9%,06:55 PM
207,The path is very good. . The rickshaw is very good. . The police is very good.,Kestopur,Positive,"Roads,Transit,Safety",95.5%,06:55 PM
208,The flyover is very good.,Dum Dum,Positive,Roads,95.8%,06:55 PM
209,The chori is extremely bad. . The raasta is extremely bad.,Salt Lake,Negative,"Safety,Roads",94.6%,06:55 PM
210,The safe is extremely bad.,Salt Lake,Negative,Safety,99.5%,06:55 PM
211,The gaddha is very good. . The swachh is very good. . The sawari is very good.,Newtown,Positive,"Roads,Hygiene,Transit",95.5%,06:55 PM
212,The khof is extremely bad.,Newtown,Negative,Safety,96.0%,06:55 PM
213,The sarak is extremely bad. . The rickshaw is extremely bad.,Tollygunge,Negative,"Roads,Transit",97.0%,06:55 PM
214,The pul is extremely bad.,Kestopur,Negative,Roads,95.5%,06:55 PM
215,The sarak is very good. . The raksha is very good.,Newtown,Positive,"Roads,Safety",98.1%,06:55 PM
216,The gully is very good. . The sewage is very good.,Salt Lake,Positive,"Roads,Hygiene",94.4%,06:55 PM
217,The bridge is extremely bad.,Kestopur,Negative,Roads,99.6%,06:55 PM
218,The unnoto is very good. . The litter is very good.,Behala,Positive,"Roads,Hygiene",94.6%,06:55 PM
219,The moila is very good.,Kestopur,Positive,Hygiene,97.9%,06:55 PM
220,The bhoy is extremely bad.,Sector V,Negative,Safety,98.6%,06:55 PM
221,The ganda is very good.,Newtown,Positive,Hygiene,97.7%,06:55 PM
222,The auto is extremely bad.,Sector V,Negative,Transit,98.4%,06:55 PM
223,The andhera is extremely bad.,Kestopur,Negative,Safety,97.7%,06:55 PM
224,The commute is very good. . The goli is very good.,Newtown,Positive,"Transit,Roads",95.5%,06:55 PM
225,The rasta is very good.,Dum Dum,Positive,Roads,98.8%,06:55 PM
226,The sarak is extremely bad.,Salt Lake,Negative,Roads,95.8%,06:55 PM
227,The highway is extremely bad. . The traffic is extremely bad.,Dum Dum,Negative,"Roads,Transit",98.8%,06:55 PM
228,The gorto is extremely bad.,Jadavpur,Negative,Roads,99.2%,06:55 PM
229,The suraksha is extremely bad.,Jadavpur,Negative,Safety,95.8%,06:55 PM
230,The safety is extremely bad. . The dustbin is extremely bad.,Jadavpur,Negative,"Safety,Hygiene",96.2%,06:55 PM
231,The nirapotta is extremely bad. . The cleanliness is extremely bad.,Salt Lake,Negative,"Safety,Hygiene",97.9%,06:55 PM
232,The rickshaw is very good. . The theft is very good. . The nordoma is very good.,Sector V,Positive,"Transit,Safety,Hygiene",99.0%,06:55 PM
233,The badhu is extremely bad.,Newtown,Negative,Hygiene,94.8%,06:55 PM
234,The kaada is extremely bad.,Salt Lake,Negative,Roads,94.2%,06:55 PM
235,The unnoto is extremely bad. . The phari is extremely bad. . The dustbin is extremely bad.,Salt Lake,Negative,"Roads,Safety,Hygiene",99.3%,06:55 PM
236,The dustbin is extremely bad.,Dum Dum,Negative,Hygiene,95.2%,06:55 PM
237,The light is very good. . The goli is very good.,Salt Lake,Positive,"Safety,Roads",95.0%,06:55 PM
238,The sarak is very good. . The congestion is very good.,Newtown,Positive,"Roads,Transit",95.6%,06:55 PM
239,The bridge is extremely bad.,Salt Lake,Negative,Roads,98.6%,06:55 PM
240,The rickshaw is very good.,Newtown,Positive,Transit,98.4%,06:55 PM
241,The marg is very good.,Tollygunge,Positive,Roads,96.3%,06:55 PM
242,The rickshaw is extremely bad.,Jadavpur,Negative,Transit,94.1%,06:55 PM
243,The phari is very good.,Newtown,Positive,Safety,98.3%,06:55 PM
244,The police is extremely bad. . The asphalt is extremely bad.,Jadavpur,Negative,"Safety,Roads",99.0%,06:55 PM
245,The pothole is extremely bad. . The safe is extremely bad.,Sector V,Negative,"Roads,Safety",94.6%,06:55 PM
246,The rickshaw is extremely bad.,Lake Town,Negative,Transit,99.7%,06:55 PM
247,The stench is very good.,Dum Dum,Positive,Hygiene,96.2%,06:55 PM
248,The yatayat is extremely bad.,Lake Town,Negative,Transit,96.9%,06:55 PM
249,The traffic is very good.,Behala,Positive,Transit,97.2%,06:55 PM
250,The swachh is extremely bad. . The bhoy is extremely bad.,Salt Lake,Negative,"Hygiene,Safety",95.8%,06:55 PM
251,The police is extremely bad.,Jadavpur,Negative,Safety,97.4%,06:55 PM
252,The nongra is very good.,Salt Lake,Positive,Hygiene,94.3%,06:55 PM
253,The crime is very good.,Salt Lake,Positive,Safety,95.5%,06:55 PM
254,The nongra is very good.,Tollygunge,Positive,Hygiene,96.7%,06:55 PM
255,The unnoto is very good. . The frequency is very good. . The waste is very good.,Jadavpur,Positive,"Roads,Transit,Hygiene",98.8%,06:55 PM
256,The ganda is very good. . The gorto is very good.,Salt Lake,Positive,"Hygiene,Roads",95.8%,06:55 PM
257,The police is extremely bad.,Sector V,Negative,Safety,95.7%,06:55 PM
258,The bhoy is extremely bad.,Tollygunge,Negative,Safety,94.6%,06:55 PM
259,The bus is extremely bad. . The safe is extremely bad.,Salt Lake,Negative,"Transit,Safety",98.2%,06:55 PM
260,The surface is extremely bad.,Newtown,Negative,Roads,99.8%,06:55 PM
261,The commute is extremely bad.,Salt Lake,Negative,Transit,94.6%,06:55 PM
262,The gaddha is very good. . The toto is very good.,Kestopur,Positive,"Roads,Transit",95.8%,06:55 PM
263,The asphalt is very good. . The churi is very good. . The badhu is very good.,Lake Town,Positive,"Roads,Safety,Hygiene",95.5%,06:55 PM
264,The transport is very good. . The lane is very good.,Lake Town,Positive,"Transit,Roads",98.5%,06:55 PM
265,The swachh is extremely bad.,Tollygunge,Negative,Hygiene,99.8%,06:55 PM
266,The congestion is extremely bad. . The suraksha is extremely bad.,Newtown,Negative,"Transit,Safety",95.4%,06:55 PM
267,The goli is extremely bad.,Garia,Negative,Roads,94.1%,06:55 PM
268,The bhid is extremely bad.,Garia,Negative,Transit,96.1%,06:55 PM
269,The phari is extremely bad.,Behala,Negative,Safety,94.4%,06:55 PM
270,The rickshaw is extremely bad.,Tollygunge,Negative,Transit,98.0%,06:55 PM
271,The naala is very good.,Kestopur,Positive,Hygiene,94.5%,06:55 PM
272,The badbu is extremely bad.,Garia,Negative,Hygiene,94.2%,06:55 PM
273,The yatayat is extremely bad. . The waste is extremely bad.,Lake Town,Negative,"Transit,Hygiene",98.6%,06:55 PM
274,The raasta is extremely bad.,Newtown,Negative,Roads,97.2%,06:55 PM
275,The dakat is extremely bad.,Behala,Negative,Safety,97.3%,06:55 PM
276,The unnoto is very good. . The trash is very good.,Newtown,Positive,"Roads,Hygiene",99.2%,06:55 PM
277,The moila is extremely bad. . The bus is extremely bad. . The street is extremely bad.,Newtown,Negative,"Hygiene,Transit,Roads",98.5%,06:55 PM
278,The drain is extremely bad. . The churi is extremely bad.,Newtown,Negative,"Hygiene,Safety",98.3%,06:55 PM
279,The metro is very good.,Jadavpur,Positive,Transit,96.6%,06:55 PM
280,The path is extremely bad.,Tollygunge,Negative,Roads,95.1%,06:55 PM
281,The dustbin is extremely bad.,Jadavpur,Negative,Hygiene,96.8%,06:55 PM
282,The police is very good. . The trash is very good. . The goli is very good.,Sector V,Positive,"Safety,Hygiene,Roads",98.1%,06:55 PM
283,The bhid is very good.,Sector V,Positive,Transit,98.2%,06:55 PM
284,The cctv is extremely bad.,Garia,Negative,Safety,96.3%,06:55 PM
285,The goli is very good.,Dum Dum,Positive,Roads,96.4%,06:55 PM
286,The bus is extremely bad.,Jadavpur,Negative,Transit,94.3%,06:55 PM
287,The auto is very good.,Tollygunge,Positive,Transit,94.5%,06:55 PM
288,The protection is extremely bad. . The trash is extremely bad. . The frequency is extremely bad.,Salt Lake,Negative,"Safety,Hygiene,Transit",98.1%,06:55 PM
289,The patrol is extremely bad.,Newtown,Negative,Safety,94.9%,06:55 PM
290,The alo is extremely bad. . The trash is extremely bad.,Behala,Negative,"Safety,Hygiene",99.3%,06:55 PM
291,The bhoy is extremely bad.,Kestopur,Negative,Safety,95.9%,06:55 PM
292,The light is very good.,Tollygunge,Positive,Safety,94.2%,06:55 PM
293,The crime is very good.,Sector V,Positive,Safety,96.0%,06:55 PM
294,The highway is very good.,Kestopur,Positive,Roads,94.4%,06:55 PM
295,The commute is very good. . The drain is very good. . The churi is very good.,Lake Town,Positive,"Transit,Hygiene,Safety",96.9%,06:55 PM
296,The rasta is very good. . The safai is very good.,Dum Dum,Positive,"Roads,Hygiene",94.5%,06:55 PM
