id,text,loc,sentiment,aspects,conf,time,cleaned_text
70,The rickshaw is very good. . The unnoto is very good.,Jadavpur,Positive,"Transit,Roads",95.3%,06:55 PM,the rickshaw is very good. . the unnoto is very good.
71,The police is extremely bad. . The metro is extremely bad.,Kestopur,Negative,"Safety,Transit",99.5%,06:55 PM,the police is extremely bad. . the metro is extremely bad.
72,The dakat is extremely bad.,Lake Town,Negative,Safety,96.6%,06:55 PM,the dakat is extremely bad.
73,The crime is extremely bad.,Salt Lake,Negative,Safety,99.8%,06:55 PM,the crime is extremely bad.
74,The janbahon is extremely bad. . The road is extremely bad.,Garia,Negative,"Transit,Roads",98.8%,06:55 PM,the janbahon is extremely bad. . the road is extremely bad.
75,The safai is very good.,Lake Town,Positive,Hygiene,97.6%,06:55 PM,the safai is very good.
76,The nikashi is very good. . The pul is very good. . The transport is very good.,Jadavpur,Positive,"Hygiene,Roads,Transit",98.7%,06:55 PM,the nikashi is very good. . the pul is very good. . the transport is very good.
77,The phari is very good.,Newtown,Positive,Safety,97.5%,06:55 PM,the phari is very good.
78,The drain is very good.,Dum Dum,Positive,Hygiene,99.6%,06:55 PM,the drain is very good.
79,The flyover is extremely bad. . The bhir is extremely bad.,Tollygunge,Negative,"Roads,Transit",99.7%,06:55 PM,the flyover is extremely bad. . the bhir is extremely bad.
80,The alo is extremely bad. . The swachh is extremely bad.,Kestopur,Negative,"Safety,Hygiene",94.6%,06:55 PM,the alo is extremely bad. . the swachh is extremely bad.
81,The bhir is extremely bad. . The road is extremely bad. . The moila is extremely bad.,Lake Town,Negative,"Transit,Roads,Hygiene",99.5%,06:55 PM,the bhir is extremely bad. . the road is extremely bad. . the moila is extremely bad.
82,The manush is extremely bad.,Dum Dum,Negative,Roads,96.4%,06:55 PM,the manush is extremely bad.
83,The nongra is very good.,Salt Lake,Positive,Hygiene,99.4%,06:55 PM,the nongra is very good.
84,The pul is very good. . The naali is very good. . The bhoy is very good.,Tollygunge,Positive,"Roads,Hygiene,Safety",98.8%,06:55 PM,the pul is very good. . the naali is very good. . the bhoy is very good.
85,The goli is very good.,Tollygunge,Positive,Roads,95.3%,06:55 PM,the goli is very good.
86,The highway is very good.,Behala,Positive,Roads,96.5%,06:55 PM,the highway is very good.
87,The safe is extremely bad.,Jadavpur,Negative,Safety,96.0%,06:55 PM,the safe is extremely bad.
88,The badbu is very good.,Sector V,Positive,Hygiene,94.7%,06:55 PM,the badbu is very good.
89,The bhoy is very good. . The raston is very good.,Lake Town,Positive,"Safety,Roads",99.1%,06:55 PM,the bhoy is very good. . the raston is very good.
90,The porishkar is extremely bad. . The sarak is extremely bad.,Tollygunge,Negative,"Hygiene,Roads",96.1%,06:55 PM,the porishkar is extremely bad. . the sarak is extremely bad.
91,The metro is extremely bad.,Dum Dum,Negative,Transit,97.0%,06:55 PM,the metro is extremely bad.
92,The drain is very good.,Dum Dum,Positive,Hygiene,95.0%,06:55 PM,the drain is very good.
93,The phari is very good.,Sector V,Positive,Safety,97.4%,06:55 PM,the phari is very good.
94,The gandagi is very good.,Newtown,Positive,Hygiene,99.8%,06:55 PM,the gandagi is very good.
95,The patrol is very good.,Behala,Positive,Safety,94.4%,06:55 PM,the patrol is very good.
96,The dustbin is extremely bad.,Sector V,Negative,Hygiene,96.6%,06:55 PM,the dustbin is extremely bad.
97,The protection is very good. . The kachra is very good.,Dum Dum,Positive,"Safety,Hygiene",98.4%,06:55 PM,the protection is very good. . the kachra is very good.
98,The bhoy is very good.,Newtown,Positive,Safety,95.1%,06:55 PM,the bhoy is very good.
99,The bus is extremely bad.,Tollygunge,Negative,Transit,95.4%,06:55 PM,the bus is extremely bad.
100,The rickshaw is very good.,Garia,Positive,Transit,98.5%,06:55 PM,the rickshaw is very good.
101,The andhera is extremely bad.,Lake Town,Negative,Safety,96.6%,06:55 PM,the andhera is extremely bad.
102,The yatayat is extremely bad.,Newtown,Negative,Transit,96.3%,06:55 PM,the yatayat is extremely bad.
103,The toto is very good.,Garia,Positive,Transit,96.3%,06:55 PM,the toto is very good.
104,The bhir is extremely bad. . The dakat is extremely bad.,Jadavpur,Negative,"Transit,Safety",96.1%,06:55 PM,the bhir is extremely bad. . the dakat is extremely bad.
105,The badbu is very good.,Dum Dum,Positive,Hygiene,95.8%,06:55 PM,the badbu is very good.
106,The sanitation is extremely bad.,Newtown,Negative,Hygiene,94.8%,06:55 PM,the sanitation is extremely bad.
107,The gandagi is very good.,Garia,Positive,Hygiene,95.8%,06:55 PM,the gandagi is very good.
108,The sarak is extremely bad. . The porishkar is extremely bad.,Sector V,Negative,"Roads,Hygiene",95.4%,06:55 PM,the sarak is extremely bad. . the porishkar is extremely bad.
109,The commute is very good.,Behala,Positive,Transit,97.8%,06:55 PM,the commute is very good.
110,The nirapotta is very good. . The naali is very good.,Garia,Positive,"Safety,Hygiene",99.2%,06:55 PM,the nirapotta is very good. . the naali is very good.
111,The rickshaw is extremely bad.,Garia,Negative,Transit,99.3%,06:55 PM,the rickshaw is extremely bad.
112,The metro is extremely bad. . The safai is extremely bad.,Behala,Negative,"Transit,Hygiene",98.4%,06:55 PM,the metro is extremely bad. . the safai is extremely bad.
113,The secure is very good. . The safai is very good.,Kestopur,Positive,"Safety,Hygiene",94.9%,06:55 PM,the secure is very good. . the safai is very good.
114,The khana khondko is extremely bad. . The patrol is extremely bad.,Tollygunge,Negative,"Roads,Safety",97.4%,06:55 PM,the khana khondko is extremely bad. . the patrol is extremely bad.
115,The highway is extremely bad. . The congestion is extremely bad. . The phari is extremely bad.,Kestopur,Negative,"Roads,Transit,Safety",98.0%,06:55 PM,the highway is extremely bad. . the congestion is extremely bad. . the phari is extremely bad.
116,The churi is extremely bad.,Newtown,Negative,Safety,97.6%,06:55 PM,the churi is extremely bad.
117,The ondhokar is extremely bad.,Behala,Negative,Safety,97.1%,06:55 PM,the ondhokar is extremely bad.
118,The andhera is extremely bad.,Garia,Negative,Safety,94.2%,06:55 PM,the andhera is extremely bad.
119,The naala is very good. . The gully is very good.,Lake Town,Positive,"Hygiene,Roads",94.2%,06:55 PM,the naala is very good. . the gully is very good.
120,The police is extremely bad. . The toto is extremely bad.,Tollygunge,Negative,"Safety,Transit",99.2%,06:55 PM,the police is extremely bad. . the toto is extremely bad.
121,The nongra is extremely bad.,Tollygunge,Negative,Hygiene,96.4%,06:55 PM,the nongra is extremely bad.
122,The path is extremely bad. . The aborjna is extremely bad. . The khof is extremely bad.,Salt Lake,Negative,"Roads,Hygiene,Safety",94.1%,06:55 PM,the path is extremely bad. . the aborjna is extremely bad. . the khof is extremely bad.
123,The ganda is very good.,Dum Dum,Positive,Hygiene,98.9%,06:55 PM,the ganda is very good.
124,The protection is very good.,Sector V,Positive,Safety,95.0%,06:55 PM,the protection is very good.
125,The auto is extremely bad.,Salt Lake,Negative,Transit,98.8%,06:55 PM,the auto is extremely bad.
126,The dustbin is extremely bad. . The traffic is extremely bad. . The safe is extremely bad.,Behala,Negative,"Hygiene,Transit,Safety",95.7%,06:55 PM,the dustbin is extremely bad. . the traffic is extremely bad. . the safe is extremely bad.
127,The nirapotta is very good. . The dustbin is very good. . The pothole is very good.,Jadavpur,Positive,"Safety,Hygiene,Roads",97.3%,06:55 PM,the nirapotta is very good. . the dustbin is very good. . the pothole is very good.
128,The lane is extremely bad. . The sewage is extremely bad. . The alo is extremely bad.,Dum Dum,Negative,"Roads,Hygiene,Safety",94.9%,06:55 PM,the lane is extremely bad. . the sewage is extremely bad. . the alo is extremely bad.
129,The transport is extremely bad.,Lake Town,Negative,Transit,96.6%,06:55 PM,the transport is extremely bad.
130,The pothole is extremely bad.,Newtown,Negative,Roads,95.1%,06:55 PM,the pothole is extremely bad.
131,The dar is very good. . The naala is very good.,Jadavpur,Positive,"Safety,Hygiene",94.2%,06:55 PM,the dar is very good. . the naala is very good.
132,The crime is extremely bad.,Salt Lake,Negative,Safety,99.0%,06:55 PM,the crime is extremely bad.
133,The aborjna is very good.,Newtown,Positive,Hygiene,99.1%,06:55 PM,the aborjna is very good.
134,The raasta is extremely bad.,Salt Lake,Negative,Roads,96.2%,06:55 PM,the raasta is extremely bad.
135,The light is extremely bad. . The kachra is extremely bad.,Garia,Negative,"Safety,Hygiene",98.6%,06:55 PM,the light is extremely bad. . the kachra is extremely bad.
136,The gandagi is very good.,Kestopur,Positive,Hygiene,96.4%,06:55 PM,the gandagi is very good.
137,The drain is very good. . The road is very good.,Tollygunge,Positive,"Hygiene,Roads",94.7%,06:55 PM,the drain is very good. . the road is very good.
138,The gaadi is very good.,Newtown,Positive,Transit,99.2%,06:55 PM,the gaadi is very good.
139,The patrol is very good. . The drain is very good.,Tollygunge,Positive,"Safety,Hygiene",99.7%,06:55 PM,the patrol is very good. . the drain is very good.
140,The badhu is extremely bad. . The paribahan is extremely bad. . The highway is extremely bad.,Jadavpur,Negative,"Hygiene,Transit,Roads",96.0%,06:55 PM,the badhu is extremely bad. . the paribahan is extremely bad. . the highway is extremely bad.
141,The safety is very good. . The rickshaw is very good. . The kudedan is very good.,Tollygunge,Positive,"Safety,Transit,Hygiene",95.1%,06:55 PM,the safety is very good. . the rickshaw is very good. . the kudedan is very good.
142,The andhera is extremely bad. . The pothole is extremely bad.,Lake Town,Negative,"Safety,Roads",94.1%,06:55 PM,the andhera is extremely bad. . the pothole is extremely bad.
143,The flyover is extremely bad.,Behala,Negative,Roads,98.9%,06:55 PM,the flyover is extremely bad.
144,The bhir is extremely bad.,Lake Town,Negative,Transit,96.1%,06:55 PM,the bhir is extremely bad.
145,The goli is extremely bad. . The suraksha is extremely bad.,Salt Lake,Negative,"Roads,Safety",97.9%,06:55 PM,the goli is extremely bad. . the suraksha is extremely bad.
146,The gandagi is very good.,Tollygunge,Positive,Hygiene,98.7%,06:55 PM,the gandagi is very good.
147,The patrol is extremely bad. . The naali is extremely bad.,Newtown,Negative,"Safety,Hygiene",97.6%,06:55 PM,the patrol is extremely bad. . the naali is extremely bad.
148,The unnoto is extremely bad.,Sector V,Negative,Roads,97.5%,06:55 PM,the unnoto is extremely bad.
149,The transport is extremely bad. . The lighting is extremely bad.,Jadavpur,Negative,"Transit,Safety",96.8%,06:55 PM,the transport is extremely bad. . the lighting is extremely bad.
150,The janbahon is extremely bad. . The police is extremely bad. . The sadak is extremely bad.,Tollygunge,Negative,"Transit,Safety,Roads",98.1%,06:55 PM,the janbahon is extremely bad. . the police is extremely bad. . the sadak is extremely bad.
151,The dustbin is very good.,Lake Town,Positive,Hygiene,96.8%,06:55 PM,the dustbin is very good.
152,The janbahon is very good. . The surface is very good. . The alo is very good.,Behala,Positive,"Transit,Roads,Safety",99.8%,06:55 PM,the janbahon is very good. . the surface is very good. . the alo is very good.
153,The kudedan is very good. . The raston is very good. . The protection is very good.,Salt Lake,Positive,"Hygiene,Roads,Safety",95.7%,06:55 PM,the kudedan is very good. . the raston is very good. . the protection is very good.
154,The metro is extremely bad.,Kestopur,Negative,Transit,97.4%,06:55 PM,the metro is extremely bad.
155,The ondhokar is very good.,Dum Dum,Positive,Safety,98.2%,06:55 PM,the ondhokar is very good.
156,The safe is extremely bad.,Newtown,Negative,Safety,94.6%,06:55 PM,the safe is extremely bad.
157,The metro is very good. . The phari is very good.,Jadavpur,Positive,"Transit,Safety",98.3%,06:55 PM,the metro is very good. . the phari is very good.
158,The traffic is very good.,Behala,Positive,Transit,98.2%,06:55 PM,the traffic is very good.
159,The garbage is extremely bad.,Behala,Negative,Hygiene,99.0%,06:55 PM,the garbage is extremely bad.
160,The crime is very good. . The kachra is very good.,Tollygunge,Positive,"Safety,Hygiene",94.3%,06:55 PM,the crime is very good. . the kachra is very good.
161,The protection is very good.,Kestopur,Positive,Safety,96.4%,06:55 PM,the protection is very good.
162,The stench is extremely bad. . The patrol is extremely bad. . The rickshaw is extremely bad.,Behala,Negative,"Hygiene,Safety,Transit",96.1%,06:55 PM,the stench is extremely bad. . the patrol is extremely bad. . the rickshaw is extremely bad.
163,The safai is extremely bad.,Sector V,Negative,Hygiene,94.6%,06:55 PM,the safai is extremely bad.
164,The nirapotta is extremely bad.,Behala,Negative,Safety,94.3%,06:55 PM,the nirapotta is extremely bad.
165,The bus is extremely bad. . The gully is extremely bad.,Dum Dum,Negative,"Transit,Roads",98.3%,06:55 PM,the bus is extremely bad. . the gully is extremely bad.
166,The rickshaw is extremely bad. . The street is extremely bad.,Salt Lake,Negative,"Transit,Roads",95.8%,06:55 PM,the rickshaw is extremely bad. . the street is extremely bad.
167,The traffic is very good. . The safe is very good.,Sector V,Positive,"Transit,Safety",99.1%,06:55 PM,the traffic is very good. . the safe is very good.
168,The street is very good.,Tollygunge,Positive,Roads,95.6%,06:55 PM,the street is very good.
169,The ondhokar is extremely bad.,Kestopur,Negative,Safety,97.2%,06:55 PM,the ondhokar is extremely bad.
170,The lighting is very good. . The naala is very good. . The path is very good.,Newtown,Positive,"Safety,Hygiene,Roads",96.0%,06:55 PM,the lighting is very good. . the naala is very good. . the path is very good.
171,The porishkar is extremely bad. . The gorto is extremely bad. . The rickshaw is extremely bad.,Salt Lake,Negative,"Hygiene,Roads,Transit",95.1%,06:55 PM,the porishkar is extremely bad. . the gorto is extremely bad. . the rickshaw is extremely bad.
172,The theft is very good.,Sector V,Positive,Safety,99.2%,06:55 PM,the theft is very good.
173,The ganda is very good.,Sector V,Positive,Hygiene,99.3%,06:55 PM,the ganda is very good.
174,The bus is extremely bad. . The manush is extremely bad.,Sector V,Negative,"Transit,Roads",95.4%,06:55 PM,the bus is extremely bad. . the manush is extremely bad.
175,The cctv is extremely bad.,Behala,Negative,Safety,96.1%,06:55 PM,the cctv is extremely bad.
176,The safety is extremely bad.,Kestopur,Negative,Safety,95.8%,06:55 PM,the safety is extremely bad.
177,The bhir is extremely bad.,Tollygunge,Negative,Transit,99.7%,06:55 PM,the bhir is extremely bad.
178,The khof is extremely bad.,Behala,Negative,Safety,94.6%,06:55 PM,the khof is extremely bad.
179,The gaadi is very good.,Jadavpur,Positive,Transit,98.6%,06:55 PM,the gaadi is very good.
180,The rickshaw is extremely bad.,Behala,Negative,Transit,94.9%,06:55 PM,the rickshaw is extremely bad.
181,The police is extremely bad.,Salt Lake,Negative,Safety,98.0%,06:55 PM,the police is extremely bad.
182,The swachh is very good. . The commute is very good. . The cctv is very good.,Jadavpur,Positive,"Hygiene,Transit,Safety",96.6%,06:55 PM,the swachh is very good. . the commute is very good. . the cctv is very good.
183,The stench is extremely bad.,Jadavpur,Negative,Hygiene,99.6%,06:55 PM,the stench is extremely bad.
184,The traffic is very good. . The road is very good. . The kachra is very good.,Newtown,Positive,"Transit,Roads,Hygiene",99.1%,06:55 PM,the traffic is very good. . the road is very good. . the kachra is very good.
185,The pothole is very good. . The police is very good.,Newtown,Positive,"Roads,Safety",96.3%,06:55 PM,the pothole is very good. . the police is very good.
186,The traffic is very good. . The moila is very good.,Kestopur,Positive,"Transit,Hygiene",99.1%,06:55 PM,the traffic is very good. . the moila is very good.
187,The lane is extremely bad.,Dum Dum,Negative,Roads,96.3%,06:55 PM,the lane is extremely bad.
188,The andhera is very good. . The smell is very good.,Garia,Positive,"Safety,Hygiene",96.3%,06:55 PM,the andhera is very good. . the smell is very good.
189,The lane is extremely bad.,Kestopur,Negative,Roads,96.7%,06:55 PM,the lane is extremely bad.
190,The naali is extremely bad. . The metro is extremely bad.,Dum Dum,Negative,"Hygiene,Transit",94.6%,06:55 PM,the naali is extremely bad. . the metro is extremely bad.
191,The gaddha is very good.,Newtown,Positive,Roads,97.8%,06:55 PM,the gaddha is very good.
192,The gaadi is very good. . The cctv is very good. . The naala is very good.,Sector V,Positive,"Transit,Safety,Hygiene",98.4%,06:55 PM,the gaadi is very good. . the cctv is very good. . the naala is very good.
193,The safety is extremely bad. . The nordoma is extremely bad.,Salt Lake,Negative,"Safety,Hygiene",96.1%,06:55 PM,the safety is extremely bad. . the nordoma is extremely bad.
194,The gaddha is extremely bad. . The khof is extremely bad. . The janbahon is extremely bad.,Jadavpur,Negative,"Roads,Safety,Transit",97.7%,06:55 PM,the gaddha is extremely bad. . the khof is extremely bad. . the janbahon is extremely bad.
195,The paribahan is extremely bad.,Behala,Negative,Transit,98.8%,06:55 PM,the paribahan is extremely bad.
196,The auto is extremely bad. . The dustbin is extremely bad.,Kestopur,Negative,"Transit,Hygiene",94.9%,06:55 PM,the auto is extremely bad. . the dustbin is extremely bad.
197,The police is extremely bad. . The janbahon is extremely bad.,Jadavpur,Negative,"Safety,Transit",96.5%,06:55 PM,the police is extremely bad. . the janbahon is extremely bad.
198,The kudedan is extremely bad. . The shuttle is extremely bad.,Salt Lake,Negative,"Hygiene,Transit",97.7%,06:55 PM,the kudedan is extremely bad. . the shuttle is extremely bad.
199,The raston is extremely bad. . The auto is extremely bad.,Salt Lake,Negative,"Roads,Transit",99.0%,06:55 PM,the raston is extremely bad. . the auto is extremely bad.
200,The nordoma is very good.,Lake Town,Positive,Hygiene,95.4%,06:55 PM,the nordoma is very good.
201,The divider is extremely bad.,Tollygunge,Negative,Roads,95.4%,06:55 PM,the divider is extremely bad.
202,The surface is extremely bad. . The safe is extremely bad. . The gaadi is extremely bad.,Garia,Negative,"Roads,Safety,Transit",94.0%,06:55 PM,the surface is extremely bad. . the safe is extremely bad. . the gaadi is extremely bad.
203,The dar is extremely bad. . The pul is extremely bad.,Behala,Negative,"Safety,Roads",96.2%,06:55 PM,the dar is extremely bad. . the pul is extremely bad.
204,The transport is extremely bad. . The trash is extremely bad. . The alo is extremely bad.,Newtown,Negative,"Transit,Hygiene,Safety",99.4%,06:55 PM,the transport is extremely bad. . the trash is extremely bad. . the alo is extremely bad.
205,The bus is very good. . The porishkar is very good. . The khof is very good.,Tollygunge,Positive,"Transit,Hygiene,Safety",94.6%,06:55 PM,the bus is very good. . the porishkar is very good. . the khof is very good.
206,The metro is extremely bad. . The crime is extremely bad.,Tollygunge,Negative,"Transit,Safety",95.9%,06:55 PM,the metro is extremely bad. . the crime is extremely bad.
207,The path is very good. . The rickshaw is very good. . The police is very good.,Kestopur,Positive,"Roads,Transit,Safety",95.5%,06:55 PM,the path is very good. . the rickshaw is very good. . the police is very good.
208,The flyover is very good.,Dum Dum,Positive,Roads,95.8%,06:55 PM,the flyover is very good.
209,The chori is extremely bad. . The raasta is extremely bad.,Salt Lake,Negative,"Safety,Roads",94.6%,06:55 PM,the chori is extremely bad. . the raasta is extremely bad.
210,The safe is extremely bad.,Salt Lake,Negative,Safety,99.5%,06:55 PM,the safe is extremely bad.
211,The gaddha is very good. . The swachh is very good. . The sawari is very good.,Newtown,Positive,"Roads,Hygiene,Transit",95.5%,06:55 PM,the gaddha is very good. . the swachh is very good. . the sawari is very good.
212,The khof is extremely bad.,Newtown,Negative,Safety,96.0%,06:55 PM,the khof is extremely bad.
213,The sarak is extremely bad. . The rickshaw is extremely bad.,Tollygunge,Negative,"Roads,Transit",97.0%,06:55 PM,the sarak is extremely bad. . the rickshaw is extremely bad.
214,The pul is extremely bad.,Kestopur,Negative,Roads,95.5%,06:55 PM,the pul is extremely bad.
215,The sarak is very good. . The raksha is very good.,Newtown,Positive,"Roads,Safety",98.1%,06:55 PM,the sarak is very good. . the raksha is very good.
216,The gully is very good. . The sewage is very good.,Salt Lake,Positive,"Roads,Hygiene",94.4%,06:55 PM,the gully is very good. . the sewage is very good.
217,The bridge is extremely bad.,Kestopur,Negative,Roads,99.6%,06:55 PM,the bridge is extremely bad.
218,The unnoto is very good. . The litter is very good.,Behala,Positive,"Roads,Hygiene",94.6%,06:55 PM,the unnoto is very good. . the litter is very good.
219,The moila is very good.,Kestopur,Positive,Hygiene,97.9%,06:55 PM,the moila is very good.
